#SampleID	Target	Project
AN10391_S1	16S_515_926	LFJP3
AN10494_S90	16S_515_926	LFJP3
AN10518_S47	16S_515_926	LFJP3
AN10521_S3	16S_515_926	LFJP3
BD00301_S10	16S_515_926	LFJP3
CH50325_S22	16S_515_926	LFJP3
C_16S_2_116SD_1_S108	16S_515_926	LFJP3
C_16S_2_116SD_2_S120	16S_515_926	LFJP3
C_16S_2_116SD_3_S132	16S_515_926	LFJP3
C_16S_2_138SI_1_S114	16S_515_926	LFJP3
C_16S_2_138SI_2_S126	16S_515_926	LFJP3
C_16S_2_138SI_3_S138	16S_515_926	LFJP3
C_16S_2_224SD_1_S144	16S_515_926	LFJP3
C_16S_2_224SD_2_S156	16S_515_926	LFJP3
C_16S_2_224SD_3_S168	16S_515_926	LFJP3
C_16S_2_248SI_1_S150	16S_515_926	LFJP3
C_16S_2_248SI_2_S162	16S_515_926	LFJP3
C_16S_2_248SI_3_S174	16S_515_926	LFJP3
C_16S_2_313SI_1_S186	16S_515_926	LFJP3
C_16S_2_313SI_2_S198	16S_515_926	LFJP3
C_16S_2_313SI_3_S115	16S_515_926	LFJP3
C_16S_2_335SD_1_S180	16S_515_926	LFJP3
C_16S_2_335SD_2_S192	16S_515_926	LFJP3
C_16S_2_335SD_3_S109	16S_515_926	LFJP3
C_16S_2_403SD_1_S121	16S_515_926	LFJP3
C_16S_2_403SD_2_S133	16S_515_926	LFJP3
C_16S_2_403SD_3_S145	16S_515_926	LFJP3
C_16S_2_404SI_1_S127	16S_515_926	LFJP3
C_16S_2_404SI_2_S139	16S_515_926	LFJP3
C_16S_2_404SI_3_S151	16S_515_926	LFJP3
C_16S_3_109SI_1_S163	16S_515_926	LFJP3
C_16S_3_109SI_2_S175	16S_515_926	LFJP3
C_16S_3_109SI_3_S187	16S_515_926	LFJP3
C_16S_3_122SD_1_S157	16S_515_926	LFJP3
C_16S_3_122SD_2_S169	16S_515_926	LFJP3
C_16S_3_122SD_3_S181	16S_515_926	LFJP3
C_16S_3_208SI_1_S199	16S_515_926	LFJP3
C_16S_3_208SI_2_S116	16S_515_926	LFJP3
C_16S_3_208SI_3_S128	16S_515_926	LFJP3
C_16S_3_245SD_1_S193	16S_515_926	LFJP3
C_16S_3_245SD_2_S110	16S_515_926	LFJP3
C_16S_3_245SD_3_S122	16S_515_926	LFJP3
C_16S_3_301SI_1_S140	16S_515_926	LFJP3
C_16S_3_301SI_2_S152	16S_515_926	LFJP3
C_16S_3_301SI_3_S164	16S_515_926	LFJP3
C_16S_3_338SD_1_S134	16S_515_926	LFJP3
C_16S_3_338SD_2_S146	16S_515_926	LFJP3
C_16S_3_338SD_3_S158	16S_515_926	LFJP3
C_16S_3_413SI_1_S176	16S_515_926	LFJP3
C_16S_3_413SI_2_S188	16S_515_926	LFJP3
C_16S_3_413SI_3_S200	16S_515_926	LFJP3
C_16S_3_434SD_1_S170	16S_515_926	LFJP3
C_16S_3_434SD_2_S182	16S_515_926	LFJP3
C_16S_3_434SD_3_S194	16S_515_926	LFJP3
C_16S_4_102SI_1_S117	16S_515_926	LFJP3
C_16S_4_102SI_2_S129	16S_515_926	LFJP3
C_16S_4_102SI_3_S141	16S_515_926	LFJP3
C_16S_4_110SD_1_S111	16S_515_926	LFJP3
C_16S_4_110SD_2_S123	16S_515_926	LFJP3
C_16S_4_110SD_3_S135	16S_515_926	LFJP3
C_16S_4_203SD_1_S147	16S_515_926	LFJP3
C_16S_4_203SD_2_S159	16S_515_926	LFJP3
C_16S_4_203SD_3_S171	16S_515_926	LFJP3
C_16S_4_214SI_1_S153	16S_515_926	LFJP3
C_16S_4_214SI_2_S165	16S_515_926	LFJP3
C_16S_4_214SI_3_S177	16S_515_926	LFJP3
C_16S_4_330SD_1_S183	16S_515_926	LFJP3
C_16S_4_330SD_2_S195	16S_515_926	LFJP3
C_16S_4_330SD_3_S112	16S_515_926	LFJP3
C_16S_4_342SI_1_S189	16S_515_926	LFJP3
C_16S_4_342SI_2_S201	16S_515_926	LFJP3
C_16S_4_342SI_3_S118	16S_515_926	LFJP3
C_16S_4_403SI_1_S130	16S_515_926	LFJP3
C_16S_4_403SI_2_S142	16S_515_926	LFJP3
C_16S_4_403SI_3_S154	16S_515_926	LFJP3
C_16S_4_415SD_1_S124	16S_515_926	LFJP3
C_16S_4_415SD_2_S136	16S_515_926	LFJP3
C_16S_4_415SD_3_S148	16S_515_926	LFJP3
C_16S_5_121SD_1_S160	16S_515_926	LFJP3
C_16S_5_121SD_2_S172	16S_515_926	LFJP3
C_16S_5_121SD_3_S184	16S_515_926	LFJP3
C_16S_5_136SI_1_S166	16S_515_926	LFJP3
C_16S_5_136SI_2_S178	16S_515_926	LFJP3
C_16S_5_136SI_3_S190	16S_515_926	LFJP3
C_16S_5_206SD_1_S196	16S_515_926	LFJP3
C_16S_5_206SD_2_S113	16S_515_926	LFJP3
C_16S_5_206SD_3_S125	16S_515_926	LFJP3
C_16S_5_227SI_1_S202	16S_515_926	LFJP3
C_16S_5_227SI_2_S119	16S_515_926	LFJP3
C_16S_5_227SI_3_S131	16S_515_926	LFJP3
C_16S_5_329SD_1_S137	16S_515_926	LFJP3
C_16S_5_329SD_2_S149	16S_515_926	LFJP3
C_16S_5_329SD_3_S161	16S_515_926	LFJP3
C_16S_5_334SI_1_S143	16S_515_926	LFJP3
C_16S_5_334SI_2_S155	16S_515_926	LFJP3
C_16S_5_334SI_3_S167	16S_515_926	LFJP3
C_16S_5_416SI_1_S179	16S_515_926	LFJP3
C_16S_5_416SI_2_S191	16S_515_926	LFJP3
C_16S_5_416SI_3_S203	16S_515_926	LFJP3
C_16S_5_426SD_1_S173	16S_515_926	LFJP3
C_16S_5_426SD_2_S185	16S_515_926	LFJP3
C_16S_5_426SD_3_S197	16S_515_926	LFJP3
HO10744_S13	16S_515_926	LFJP3
HO10845_S15	16S_515_926	LFJP3
HO10890_S85	16S_515_926	LFJP3
HO10992_S25	16S_515_926	LFJP3
HO11000_S48	16S_515_926	LFJP3
HO11330_S2	16S_515_926	LFJP3
HO11398_S7	16S_515_926	LFJP3
HO11505_S19	16S_515_926	LFJP3
HO11665_S14	16S_515_926	LFJP3
HO11828_S31	16S_515_926	LFJP3
HO11850A_S37	16S_515_926	LFJP3
HO11850B_S43	16S_515_926	LFJP3
HO11942_S34	16S_515_926	LFJP3
HO11980_S46	16S_515_926	LFJP3
HO12086_S55	16S_515_926	LFJP3
HO12118_S26	16S_515_926	LFJP3
HO12158_S84	16S_515_926	LFJP3
HO12171_S49	16S_515_926	LFJP3
HO12207_S67	16S_515_926	LFJP3
HO12213_S27	16S_515_926	LFJP3
HO12271_S58	16S_515_926	LFJP3
HO12331_S38	16S_515_926	LFJP3
HO12418_S70	16S_515_926	LFJP3
HO12431_S79	16S_515_926	LFJP3
HO12447_S82	16S_515_926	LFJP3
HO12477_S91	16S_515_926	LFJP3
HO12492_S39	16S_515_926	LFJP3
HO12500_S8	16S_515_926	LFJP3
HO12529_S50	16S_515_926	LFJP3
HO12532_S20	16S_515_926	LFJP3
HO12533_S62	16S_515_926	LFJP3
HO12539_S32	16S_515_926	LFJP3
HO12548_S51	16S_515_926	LFJP3
HO12563_S94	16S_515_926	LFJP3
HO12567_S63	16S_515_926	LFJP3
HO12571_S12	16S_515_926	LFJP3
HO12572_S60	16S_515_926	LFJP3
HO12574_S75	16S_515_926	LFJP3
HO12575_S44	16S_515_926	LFJP3
HO12585_S11	16S_515_926	LFJP3
HO12619_S87	16S_515_926	LFJP3
HO12622_S72	16S_515_926	LFJP3
HO12633_S4	16S_515_926	LFJP3
HO12637_S56	16S_515_926	LFJP3
HO12639_S97	16S_515_926	LFJP3
HO12653_S99	16S_515_926	LFJP3
HO12656_S101	16S_515_926	LFJP3
HO12664_S16	16S_515_926	LFJP3
HO12678_S103	16S_515_926	LFJP3
HO12691_S104	16S_515_926	LFJP3
HO12698_S105	16S_515_926	LFJP3
HO12713_S74	16S_515_926	LFJP3
HO12714_S24	16S_515_926	LFJP3
HO12715_S28	16S_515_926	LFJP3
HO12722_S68	16S_515_926	LFJP3
HO12726_S40	16S_515_926	LFJP3
HO12751_S52	16S_515_926	LFJP3
HO12754_S64	16S_515_926	LFJP3
HO12803_S76	16S_515_926	LFJP3
HO12806_S88	16S_515_926	LFJP3
HO12807_S5	16S_515_926	LFJP3
HO12815_S17	16S_515_926	LFJP3
HO12820_S59	16S_515_926	LFJP3
HO12821_S29	16S_515_926	LFJP3
HO12823_S41	16S_515_926	LFJP3
JE01228_S61	16S_515_926	LFJP3
JE01293_S80	16S_515_926	LFJP3
JE01345_S53	16S_515_926	LFJP3
JE01363_S86	16S_515_926	LFJP3
JE01370_S23	16S_515_926	LFJP3
JE01371_S92	16S_515_926	LFJP3
JE01373_S9	16S_515_926	LFJP3
JE01376_S65	16S_515_926	LFJP3
JE01382_S77	16S_515_926	LFJP3
JE01390_S21	16S_515_926	LFJP3
JE01391_S89	16S_515_926	LFJP3
JE01393_S6	16S_515_926	LFJP3
JE01394_S18	16S_515_926	LFJP3
JE01403_S33	16S_515_926	LFJP3
JE01409_S45	16S_515_926	LFJP3
JE01413_S30	16S_515_926	LFJP3
JE01415_S42	16S_515_926	LFJP3
JE01419_S57	16S_515_926	LFJP3
JE01421_S106	16S_515_926	LFJP3
JE01422_S35	16S_515_926	LFJP3
JE01426_S69	16S_515_926	LFJP3
JE01427_S54	16S_515_926	LFJP3
JE01429_S66	16S_515_926	LFJP3
JE01434_S36	16S_515_926	LFJP3
JE01438_S107	16S_515_926	LFJP3
JE01441_S98	16S_515_926	LFJP3
JE01445_S81	16S_515_926	LFJP3
JE01460_S71	16S_515_926	LFJP3
JE01464_S100	16S_515_926	LFJP3
JE10034_S73	16S_515_926	LFJP3
JE10080_S83	16S_515_926	LFJP3
